Date,#,Item,Location,Information,What is done?,Done,Comment,Implementation_status,Where_to_find_in_app
,1,inputs,all pages,I need to figure out how to aling on options and standards. I have google sheets tables that we can use. It seems like you and I need to get more alignment so we need to figure out a better feedback loop on this item. ,"#1 — Sheets alignment
Deliverable is a single inventory doc so stakeholders can map app inputs to Google Sheets. No in-product UI change.",FALSE,,Doc only,No in-app screen. Review the project doc: docs/data-source-audit.md (stakeholder mapping to Google Sheets).
,2,Equipment selection on Engineering Page,Engineering Page,This is feels like an after thought when it is actually the most critical item. I think we need tabs and this needs to be more aligned to push this ability to change back to the configurator. I would like popout ability to laungh the configurator from here. Right now it is very jumpy when you jump back to the full configurator. ,Engineering workspace split: Calculations vs Equipment full-width tab. Equipment panel keeps Open configurator actions per category. Per-category full-page widgets and true popout drawer still partial vs ideal.,FALSE,,PARTIAL,"Top bar: open Engineering → under the workspace title, switch tabs **Calculations** | **Equipment**. On Equipment, scroll the equipment sections; use **Open configurator** row buttons to jump to the matching mechanical step in Configurator."
,3,Customer,configurator,need a way to input customer and owner which might be different or the same. owner info is needed for permit submittals. ,Customer vs owner blocks with sync; permit-oriented owner callout when code awareness indicates filing.,TRUE,,Shipped,Configurator → left rail **Project Information** → sub-segment **Contacts** → step **Customer**.
,4,Pool Classes,configurator,"we need ""i"" buttons and explanations on what each one means. this is complicated terms that we need to outline in a better way. ",Each pool class has compact info icons with plain-language tooltips next to choices.,TRUE,,Shipped,Configurator → **Project Information** → **Project** segment → **Pool Use** — look for (i) next to pool class options.
,5,Address,configurator,we need ability to type address or select in a map in configurator,Map-first layout with geocode lookup; pin/selection supported via map flow.,TRUE,,Shipped,"Configurator → **Project Information** → **Project** → **Project Location** — map area at top, address search and fields below."
,6,mechancail systems ,configurator,do we need sub drop downs under mechanical in the left hand side so that it is easier to navigate vs scroll. ,Mechanical Systems uses per-step focus: chip/step picker + single-step main pane instead of one long scroll.,TRUE,,Shipped,"Configurator → left rail expand **Mechanical Systems** — use the step chips/rows (Filtration, Sanitation, Secondary Sanitation, Heating, etc.); main canvas shows only the active step."
,7,filter selection process,configurator,"this generally needs refinement. It is better. We need filters to help show based on cost, brand, number of filters. ","Catalogue filters: price range, brand, min filter count, per-row qty.",TRUE,,Shipped,Configurator → **Mechanical Systems** → **Filtration** — scroll to the filter model catalogue / table block.
5/7/2026,8,Price Filter - Range Handle,configurator,I prefer the Range sliders with dual handles for price filtering. Also need to have dolllars there. ,Dual-handle price slider with dollar labels.,TRUE,,Shipped,Same as #7: **Filtration** step → catalogue toolbar → dual-handle price range control.
5/7/2026,9,Brand filters,configurator,we need to have a way to only see one brand. ,Single-brand dropdown (incl. All) tied to catalogue/table.,TRUE,,Shipped,**Filtration** → catalogue area → brand dropdown in the filter toolbar / table context.
5/7/2026,10,Deck and Diving Board toggles,configurator,we need ways to turn this on or off based on the code. only relevant for certain codes. ,Code-driven not applicable state with configure-anyway override.,TRUE,,Shipped,"Configurator → **Pool Volumes** group → **Deck** or **Diving Board** — when codes hide the step, you see the N/A panel first."
5/7/2026,11,Pool Recircluation,,update to the one I tagged you. This also needs to be nested and only one category can be selected to see the options. This is an only 1 selection type. ,Single-select nested picker; copy may still change when reference art arrives.,TRUE,,Shipped,"Configurator → **Pool Design** → **Pool Recirculation** — pick one branch, then one leaf option."
5/7/2026,12,Code Suggestion,configuroat,we are likely going to ,Preview panel: suggested standards by state/jurisdiction with adopt; AHJ disclaimer.,FALSE,,PARTIAL,Configurator → **Project Information** → **Code** segment → **Code Standards** — look for suggested codes strip above your selected standards.
5/11/2026,13,Filter selctor to have quanities,Filter Selector,add quantities to the filter selector table. For example one filter might be 1 quantity to meet the scenario and another might take 2 or 3. ,Qty column per catalogue row with defaults from sizing.,TRUE,,Shipped,**Filtration** → catalogue table → **Qty** column on each model row.
5/11/2026,14,Retention Pit/Backwash/Sewer,Not needed state,"We need a not needed state, which would be a floor drain sized at 2"". ","Three-way mode including Not needed with 2"" floor drain default narrative.",TRUE,,Shipped,**Filtration** step → discharge / retention section — toggle **Retention pit** | **Sewer** | **Not needed** (floor drain).
5/11/2026,15,Retention Pit/Backwash/Sewer,Pipe Size,"We need to add sewer pip line size to the mix. The input here is ""Sewer Capacity"" or a line size. If I have one I can calculate the other. I also need Backwash size from the selected filter. This is per filte not per system. ",Paired sewer capacity ↔ line size; backwash GPM surfaced from selected filter model.,TRUE,,Shipped,Same **Filtration** discharge section — sewer mode shows paired capacity/line fields; backwash readout near selected filter context.
5/11/2026,16,information bars,Tools,I would rather have an i button on each tool that gives more information than it as part of the tool header bar. ,"InfoHint pattern on key labels (Filtration, Heating, etc.).",TRUE,,Shipped,"Spot-check **Filtration** (sizing row), **Heating** (section headers and numeric fields), and other mechanical forms for (i) icons beside labels."
5/11/2026,17,Brands as part of the selector tool,Tools,I would rather have the brand selection as part of the filtering process to find the one you want than as it's own field. ,Brand folded into catalogue toolbar; separate top Brand strip removed.,TRUE,,Shipped,"**Filtration** catalogue — brand lives with the other table filters, not as an isolated field above the whole form."
5/11/2026,18,Mechanical Sub Tools in Configuration Bar.,Mecahnical Tools,"This is too long now and would rather have an individual widget for fitlers, chemicals, heat, etc... than one large  one. This is easy to navigate for changes. ",Same as #6 — one mechanical widget per step in the main pane.,TRUE,,Shipped,Same as #6 — **Mechanical Systems** left rail + single active step in the canvas.
5/11/2026,19,Secondary Sanitiation,Mecahnical Tools,"we need to have a non or a toggle to have it on or off. This is one where it can be required, so we would toggle on automatically in that scenario, or the owner just chooses to have it. ",Auto / On / Off mode; codes can force effective on; off hides multi-select.,TRUE,,Shipped,**Mechanical Systems** → **Secondary Sanitation** — mode control at top of the form.
5/11/2026,20,Heating Configurator,Mecahnical Tools,We need this to fit into one page. ,"Two-column one-screen layout: assumptions left, output + comparison right.",TRUE,,Shipped,**Mechanical Systems** → **Heating** — entire flow visible in one viewport on typical desktop widths.
5/11/2026,21,Heating Configurator,Mecahnical Tools,Pool location (inside or out) should be in the general project setup. We need this for chemicals and a few other things too. Take it out of heater. ,Indoor/outdoor moved to Project Type; Heating shows read-only chip + link back.,TRUE,,Shipped,Edit: **Project Information** → **Project** → **Project Type**. View on Heating: **Mechanical Systems** → **Heating** → Pool environment chip + **Edit in Project Info**.
5/11/2026,22,Heating Configurator Info,Mecahnical Tools,Take the info away from the field labels and make it into a information button. ,InfoHints on heating labels; long paragraphs reduced.,TRUE,,Shipped,**Heating** — (i) icons next to section titles and several numeric fields.
5/11/2026,23,Heating Configurator Required Heat,Mecahnical Tools,"The required heat is a which ever is greater of the two fields, it isn't an add together situation. ","Sizing uses max(heat-up, surface loss); copy updated in Engineering.",TRUE,,Shipped,**Heating** — Required Output strip and InfoHint on Required Output. Also **Engineering** → **Calculations** — heater explainer paragraph mentions greater-of-two.
5/11/2026,24,Heating Configurator Size Comparision,Mecahnical Tools,"I want to use actual models, this should look like the filter experience. ","Dense selectable rows (BTU tiers, heat-up, verdict, cost band). Full catalogue-style model grid is still a stretch goal vs filter SKUs.",FALSE,,PARTIAL,**Heating** — right column **Heater Size Comparison** table; select a row to set nominal heater size.
5/11/2026,25,Project Information,Project Information,"Create 2 screens, one for contacts and then one for project information (address, location inside or outside, project type, and pool use type, move from other page). Then one for code. These can be sub configuration in the side panel. ","Three side-panel segments: Contacts, Project, Code.",TRUE,,Shipped,Configurator → **Project Information** group — horizontal segment control: **Contacts** | **Project** | **Code** above the step content.
5/11/2026,26,Project Information - address,Project Information,We need the ability to select address location on a map in the ux. not a look up. ,Map-first; lookup supports but map is primary affordance.,TRUE,,Shipped,**Project** segment → **Project Location** — full-width map block above search.
5/11/2026,27,Finishes,Finishes,"We need a drop down to select type of finish beyond what is shown now. For example, there are many types and colors of Pebble Tech. Also need brands etc. ",Cascading brand / line / color catalog for finish families.,TRUE,,Shipped,Configurator → **Finishes** → **Interior Finish** — family-specific dropdowns below finish type.
5/11/2026,28,Finishes,Finishes,"We need to select waterline tile. Likely this is a select height (6inch standard) and then a selection of tile size 1""by1"", 2""by 2"" or 6"" by6"" or something else. Than I need to select either colors specifically or select a price range, or I don't know at all so we select highest price range. This is required for all pools with plaster, aggregate finish. not for vinyl so it needs to be toggled on or off. ",Waterline controls with height/size/mode; visibility by finish family.,TRUE,,Shipped,**Interior Finish** — waterline / tile band section appears for plaster & aggregate (hidden for vinyl).
5/11/2026,29,Finishes,Finishes,"If a pool is all tile, we need to select the tile similar to above. ","Same tile band controls as waterline: waterline band first, then optional separate field-tile spec; ""Field tile matches waterline"" copies spec; legacy tile band height synced for summaries.",TRUE,,Shipped,"**Interior Finish** with finish **Tile** — Waterline band block, then Field tile (checkbox + second picker when not matching waterline), then stair nosing. **Tile Details** step uses the same form."
5/11/2026,30-2,Equipment selection on Engineering Page,Engineering Page,"This is feels like an after thought when it is actually the most critical item. I think we need tabs and this needs to be more aligned to push this ability to change back to the configurator. I would like popout ability to laungh the configurator from here. Right now it is very jumpy when you jump back to the full configurator. 

Update: This wasn't solved in latest version. There should be a tab or something so this can be full page and someoen can see each widget for the equipment. ",Same as #2 — Equipment tab + open configurator; per-widget tabs/popout still partial.,FALSE,,PARTIAL,Same as #2 — **Engineering** workspace → **Equipment** tab.
5/11/2026,31,Procurement - filter,Procurement,We need to filter based on supplier. That is missing,Supplier chip row on line items beside search.,TRUE,,Shipped,Top bar: **Project Financials** workspace → **Line items** tab — supplier chips row next to the line-item search.
5/11/2026,32,addtional items,Addtional Items,See cost catalog figma make file for better ideas. This needs to have a side bar with items and than a screen that allows me to edit items. ,Two-pane layout: sidebar list + editor card (cost lines evolving).,FALSE,,PARTIAL,"Top bar: **Additional costs** workspace — left sidebar list, right editor for the selected catalog line."
5/11/2026,33,addtional items,Addtional Items,"See cost catalog figma make file for better ideas. I like a table that allows you to add cost to the item. Select cost type first, than add the cost per unit. ",Editor structure started toward cost-type rows; full Figma-parity table may still be WIP.,FALSE,,PARTIAL,Same **Additional costs** workspace — inspect the right-hand editor after selecting an item in the sidebar.
5/11/2026,34,Procurement Rename,Procurement,"This is the wrong name for this tool. It needs to be Project Financials or something closer to that. With it being ""estimating"" and ""procurement"" those are really seperate tools under the bigger Financials.","Workspace label renamed to Project Financials across shell (menu, login, chat, etc.).",TRUE,,Shipped,Main workspace tabs / menu — look for **Project Financials** instead of Procurement.
5/11/2026,35,Procurement Reorder,Procurement,"This is the wrong order and wondering if they need more visual seperate as they are almost seperate tools. This is one that is the estimate, which will eventually show project actualls as well, and another that is the procurement of the materials. ",Tabs order Estimate first; dual sub-header strip under tabs to separate mental models.,TRUE,,Shipped,**Project Financials** — tab order **Estimate · Line items · Orders**; note the two-tone hint strip under the tab row.
